Geo Point;Geo Shape;gml_id;GID;GEOM_O;IDENT;NUMERO;GROUPE;NUMORDRE;LIBELLE;VEHICULE;SOURCE;TYPE;ACTIF;VOIRIE;INSEE;CDATE;MDATE
44.871669, -0.734457;"{""coordinates"": [-0.734457, 44.871669], ""type"": ""Point""}";SV_ARRET_P.1477;1477;0;B_SNP53_R;2497;B_SNP53;2;La Poudrerie;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE;33449;2012-09-03T02:00:00+02:00;2002-10-14T02:00:00+02:00
44.840859, -0.580947;"{""coordinates"": [-0.580947, 44.840859], ""type"": ""Point""}";SV_ARRET_P.1445;1445;0;B_GAM04_A;2444;B_GAM04;1;Gambetta;BUS;SAEIV_BUS;CLASSIQUE;1;CHAUSSEE_ACCESS;33063;2004-08-30T02:00:00+02:00;2020-02-17T01:00:00+01:00
44.861183, -0.585452;"{""coordinates"": [-0.585452, 44.861183], ""type"": ""Point""}";SV_ARRET_P.1890;1890;0;B_BGO15_R;3152;B_BGO15;2;Grand Parc;BUS;SIG_KEOLIS;CLASSIQUE;0;CHAUSSEE;33063;2013-03-18T01:00:00+01:00;2013-03-18T01:00:00+01:00
44.893179, -0.552856;"{""coordinates"": [-0.552856, 44.893179], ""type"": ""Point""}";SV_ARRET_P.909;909;0;B_CRU31_A;1479;B_CRU31;1;Cruchet;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE;33063;1999-09-09T02:00:00+02:00;1999-09-09T02:00:00+02:00
44.91106, -0.60736;"{""coordinates"": [-0.60736, 44.91106], ""type"": ""Point""}";SV_ARRET_P.2033;2033;0;B_FOR58_R;3419;B_FOR58;2;Saint-Exupéry;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE;33056;2008-03-25T01:00:00+01:00;2000-09-01T02:00:00+02:00
44.893903, -0.500684;"{""coordinates"": [-0.500684, 44.893903], ""type"": ""Point""}";SV_ARRET_P.1091;1091;0;B_CBL93_A;1785;B_CBL93;1;Carbon Blanc Centre;BUS;SIG_KEOLIS;CLASSIQUE;0;CHAUSSEE_ACCESS;33096;2000-10-20T02:00:00+02:00;2016-08-25T02:00:00+02:00
44.841635, -0.509008;"{""coordinates"": [-0.509008, 44.841635], ""type"": ""Point""}";SV_ARRET_P.266;266;0;B_SAT06_R;444;B_SAT06;2;Satie;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE;33167;2000-01-28T01:00:00+01:00;2000-01-28T01:00:00+01:00
44.825985, -0.527329;"{""coordinates"": [-0.527329, 44.825985], ""type"": ""Point""}";SV_ARRET_P.2709;2709;0;B_ALF10_R;5927;B_ALF10;2;Arena;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE_ACCESS;33167;2018-01-08T01:00:00+01:00;2010-02-22T01:00:00+01:00
44.782727, -0.688137;"{""coordinates"": [-0.688137, 44.782727], ""type"": ""Point""}";SV_ARRET_P.1625;1625;0;B_POU46_A;2768;B_POU46;1;Poudrière;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE_ACCESS;33318;2005-08-29T02:00:00+02:00;2005-08-29T02:00:00+02:00
44.824275, -0.624489;"{""coordinates"": [-0.624489, 44.824275], ""type"": ""Point""}";SV_ARRET_P.1932;1932;0;B_ABR48_R;3215;B_ABR48;2;Aristide Briand;BUS;SIG_KEOLIS;CLASSIQUE;0;CHAUSSEE;33281;1999-11-25T01:00:00+01:00;2006-01-16T01:00:00+01:00
44.789668, -0.687289;"{""coordinates"": [-0.687289, 44.789668], ""type"": ""Point""}";SV_ARRET_P.633;633;0;B_PIC84_R;1010;B_PIC84;2;Picardie;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE;33318;1999-08-30T02:00:00+02:00;1999-08-30T02:00:00+02:00
44.899917, -0.507899;"{""coordinates"": [-0.507899, 44.899917], ""type"": ""Point""}";SV_ARRET_P.1317;1317;0;B_COM95_R;2181;B_COM95;2;Collège Manon Cormier;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE;33032;2000-10-20T02:00:00+02:00;2005-06-06T02:00:00+02:00
44.826665, -0.572545;"{""coordinates"": [-0.572545, 44.826665], ""type"": ""Point""}";SV_ARRET_P.1422;1422;0;B_SNI20_A;2397;B_SNI20;1;Saint-Nicolas;BUS;SAEIV_BUS;CLASSIQUE;1;CHAUSSEE;33063;1999-07-16T02:00:00+02:00;2003-02-18T01:00:00+01:00
44.922892, -0.465306;"{""coordinates"": [-0.465306, 44.922892], ""type"": ""Point""}";SV_ARRET_P.2765;2765;0;B_LRICO;6337;B_LRICO;1;La Ricodonne;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE;33003;2010-02-22T01:00:00+01:00;2010-02-22T01:00:00+01:00
44.809755, -0.562531;"{""coordinates"": [-0.562531, 44.809755], ""type"": ""Point""}";SV_ARRET_P.471;471;0;B_NOU22_R;754;B_NOU22;2;Nouzarède;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE;33039;1999-11-17T01:00:00+01:00;2010-02-22T01:00:00+01:00
44.936627, -0.480861;"{""coordinates"": [-0.480861, 44.936627], ""type"": ""Point""}";SV_ARRET_P.1082;1082;0;B_MIC93_R;1774;B_MIC93;2;Mickaëlis;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE_ACCESS;33003;2000-10-20T02:00:00+02:00;2006-01-23T01:00:00+01:00
44.833725, -0.59863;"{""coordinates"": [-0.59863, 44.833725], ""type"": ""Point""}";SV_ARRET_P.1071;1071;0;B_PECH9_A;1758;B_PECH9;1;Barrière Saint-Augustin;BUS;SAEIV_BUS;CLASSIQUE;1;CHAUSSEE;33063;2011-07-09T02:00:00+02:00;1997-08-21T02:00:00+02:00
44.819472, -0.544174;"{""coordinates"": [-0.544174, 44.819472], ""type"": ""Point""}";SV_ARRET_P.434;434;0;B_SNC02_A;695;B_SNC02;1;Cité SNCF;BUS;SIG_KEOLIS;CLASSIQUE;0;CHAUSSEE;33063;1999-07-05T02:00:00+02:00;1999-07-05T02:00:00+02:00
44.7811, -0.536521;"{""coordinates"": [-0.536521, 44.7811], ""type"": ""Point""}";SV_ARRET_P.2913;2913;0;B_PDL36_R;7002;B_PDL36;2;Pas de la Côte;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE_ACCESS;33550;2013-09-02T02:00:00+02:00;2015-08-31T02:00:00+02:00
44.875156, -0.554199;"{""coordinates"": [-0.554199, 44.875156], ""type"": ""Point""}";SV_ARRET_P.1505;1505;0;B_PMAR9T;2550;B_PMAR9T;1;Place Maran;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE_ACCESS;33063;1999-07-12T02:00:00+02:00;2010-02-22T01:00:00+01:00
44.875608, -0.639229;"{""coordinates"": [-0.639229, 44.875608], ""type"": ""Point""}";SV_ARRET_P.3137;3137;0;B_DER05_A;7936;B_DER05;1;Le Derby;BUS;SAEIV_BUS;CLASSIQUE;1;CHAUSSEE;33162;2017-01-23T01:00:00+01:00;2017-01-23T01:00:00+01:00
44.873865, -0.492671;"{""coordinates"": [-0.492671, 44.873865], ""type"": ""Point""}";SV_ARRET_P.239;239;0;B_CHE67_A;401;B_CHE67;1;Chevreuils;BUS;SAEIV_BUS;CLASSIQUE;0;CHAUSSEE;33013;2000-05-03T02:00:00+02:00;2000-05-03T02:00:00+02:00
