FID,objectid,code_insee,commune,nom_statio,url,libelle,url_mel,geom
tramway_arrets.1,1,59009,Villeneuve d'Ascq,LE SART,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Le Sart,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (709809.926999999 7062947.43720039)
tramway_arrets.2,2,59009,Villeneuve d'Ascq,LE SART,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Le Sart,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (709878.461999999 7062933.49980039)
tramway_arrets.3,3,59009,Villeneuve d'Ascq,PLANCHE EPINOY,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Planche Epinoy,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (710301.513599999 7063037.41140039)
tramway_arrets.4,4,59009,Villeneuve d'Ascq,PLANCHE EPINOY,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Planche Epinoy,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (710362.251599999 7063081.24440039)
tramway_arrets.5,5,59163,Croix,VILLA CAVROIS,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Villa Cavrois,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (710934.373799999 7063591.63200039)
tramway_arrets.6,6,59163,Croix,VILLA CAVROIS,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Villa Cavrois,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (710860.619399999 7063537.75680039)
tramway_arrets.7,7,59163,Croix,LA MARQUE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,La Marque,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (710616.511199999 7063309.88160039)
tramway_arrets.8,8,59163,Croix,LA MARQUE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,La Marque,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (710556.079199999 7063265.39040039)
tramway_arrets.9,9,59350,Lille,BUISSON,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Buisson,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (706260.127199999 7062171.83040039)
tramway_arrets.10,10,59350,Lille,GARE LILLE EUROPE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Gare Lille Europe,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (705227.4288 7060361.5440004)
tramway_arrets.11,11,59350,Lille,GARE LILLE FLANDRES,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Gare Lille Flandres,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (705097.7712 7060083.2748004)
tramway_arrets.12,12,59368,La Madeleine,BOTANIQUE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Botanique,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (705568.421603428 7061323.74384115)
tramway_arrets.13,13,59368,La Madeleine,BOTANIQUE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Botanique,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (705611.253826097 7061374.98345639)
tramway_arrets.14,14,59368,La Madeleine,ROMARIN,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Romarin,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (705363.8322 7061003.89080039)
tramway_arrets.15,15,59368,La Madeleine,ROMARIN,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Romarin,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (705315.231 7060947.50520039)
tramway_arrets.16,16,59368,La Madeleine,SAINT-MAUR,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Saint-Maur,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (705799.7424 7061660.76180039)
tramway_arrets.17,17,59378,Marcq en Baroeul,ACACIAS,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Acacias,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (707838.881399999 7063110.60300039)
tramway_arrets.18,18,59378,Marcq en Baroeul,ACACIAS,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Acacias,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (707759.0658 7063123.96260039)
tramway_arrets.19,19,59378,Marcq en Baroeul,BROSSOLETTE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Brossolette,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (706641.4434 7062587.88420039)
tramway_arrets.20,20,59378,Marcq en Baroeul,BROSSOLETTE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Brossolette,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (706688.839799999 7062629.49000039)
tramway_arrets.21,21,59378,Marcq en Baroeul,BUISSON,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Buisson,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (706312.5912 7062217.06560039)
tramway_arrets.22,22,59378,Marcq en Baroeul,CERISAIE CENTRE D'AFFAIRES,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Cerisaie Centre D'Affaires,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (707892.170399999 7064493.90420039)
tramway_arrets.23,23,59378,Marcq en Baroeul,CERISAIE CENTRE D'AFFAIRES,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Cerisaie Centre D'Affaires,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (707886.004799999 7064499.64860038)
tramway_arrets.24,24,59378,Marcq en Baroeul,CHÂTEAU ROUGE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Château Rouge,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (708107.3088 7064763.06780038)
tramway_arrets.25,25,59378,Marcq en Baroeul,CHÂTEAU ROUGE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Château Rouge,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (708100.403125597 7064768.41249383)
tramway_arrets.26,26,59378,Marcq en Baroeul,CLEMENCEAU HIPPODROME,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Clemenceau Hippodrome,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (706837.4868 7062791.39940039)
tramway_arrets.27,27,59378,Marcq en Baroeul,CROISE LAROCHE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Croise Laroche,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (707274.7158 7063122.22080039)
tramway_arrets.28,28,59378,Marcq en Baroeul,CROISE LAROCHE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Croise Laroche,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (707224.3554 7063096.27800039)
tramway_arrets.29,29,59378,Marcq en Baroeul,FOCH,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Foch,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (707331.046199999 7063237.29300039)
tramway_arrets.30,30,59378,Marcq en Baroeul,LE QUESNE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Le Quesne,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (707532.679199999 7064013.11460039)
tramway_arrets.31,31,59378,Marcq en Baroeul,LE QUESNE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Le Quesne,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (707577.302399999 7064078.03760039)
tramway_arrets.32,32,59421,Mouvaux,FAIDHERBE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Faidherbe,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (710129.875199999 7067453.07900038)
tramway_arrets.33,33,59421,Mouvaux,FAIDHERBE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Faidherbe,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (710065.570199999 7067402.53860038)
tramway_arrets.34,34,59421,Mouvaux,TRIEZ,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Triez,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (709308.175199999 7066224.42000038)
tramway_arrets.35,35,59421,Mouvaux,TRIEZ,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Triez,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (709265.713199999 7066184.93400038)
tramway_arrets.36,36,59421,Mouvaux,TROIS SUISSES,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Trois Suisses,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (709797.800399999 7066896.59460038)
tramway_arrets.37,37,59512,Roubaix,BOL D'AIR,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Bol D'Air,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (711080.863799999 7063989.89760039)
tramway_arrets.38,38,59512,Roubaix,BOL D'AIR,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Bol D'Air,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (711058.269599999 7063938.62640039)
tramway_arrets.39,39,59512,Roubaix,HOPITAL VICTOR PROVO,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Hopital Victor Provo,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (711871.687799999 7064919.00960038)
tramway_arrets.40,40,59512,Roubaix,HOPITAL VICTOR PROVO,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Hopital Victor Provo,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (711865.327199999 7064926.35660038)
tramway_arrets.41,41,59512,Roubaix,JEAN MOULIN,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Jean Moulin,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (712191.501599999 7065367.78740038)
tramway_arrets.42,42,59512,Roubaix,PARC BARBIEUX,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Parc Barbieux,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (711489.016799999 7064591.77260038)
tramway_arrets.43,43,59512,Roubaix,PARC BARBIEUX,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Parc Barbieux,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (711441.127199999 7064536.47660039)
tramway_arrets.44,44,59512,Roubaix,ALFRED MONGY,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Alfred Mongy,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (712411.633799999 7065690.20520038)
tramway_arrets.45,45,59512,Roubaix,ALFRED MONGY,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Alfred Mongy,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (712400.989799999 7065615.96420038)
tramway_arrets.46,46,59599,Tourcoing,MA CAMPAGNE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Ma Campagne,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (710849.476199999 7068150.94200038)
tramway_arrets.47,47,59599,Tourcoing,MA CAMPAGNE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Ma Campagne,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (710794.985999999 7068107.10120038)
tramway_arrets.48,48,59599,Tourcoing,PONT HYDRAULIQUE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Pont Hydraulique,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (711051.694199999 7068437.68740038)
tramway_arrets.49,49,59599,Tourcoing,PONT HYDRAULIQUE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Pont Hydraulique,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (711044.006399999 7068443.56020037)
tramway_arrets.50,50,59599,Tourcoing,TOURCOING CENTRE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Tourcoing Centre,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (711237.715199999 7069352.48640037)
tramway_arrets.51,51,59599,Tourcoing,VICTOIRE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Victoire,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (711116.585999999 7069018.24020037)
tramway_arrets.52,52,59599,Tourcoing,VICTOIRE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Victoire,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (711107.818199999 7069020.16320037)
tramway_arrets.53,53,59646,Wasquehal,CARTELOT,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Cartelot,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (708463.570799999 7065201.12960038)
tramway_arrets.54,54,59646,Wasquehal,CARTELOT,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Cartelot,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (708455.672700829 7065205.31818663)
tramway_arrets.55,55,59646,Wasquehal,GRAND COTTIGNIES,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Grand Cottignies,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (708806.41557371 7065615.83981765)
tramway_arrets.56,56,59646,Wasquehal,GRAND COTTIGNIES,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Grand Cottignies,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (708752.153999999 7065562.26900038)
tramway_arrets.57,57,59646,Wasquehal,LA TERRASSE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,La Terrasse,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (708891.0612 7063025.75040039)
tramway_arrets.58,58,59646,Wasquehal,LA TERRASSE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,La Terrasse,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (708970.344599999 7063011.51360039)
tramway_arrets.59,59,59646,Wasquehal,WASQUEHAL PAVE DE LILLE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Wasquehal Pave De Lille,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (709180.441199999 7062999.82140039)
tramway_arrets.60,60,59646,Wasquehal,WASQUEHAL PAVE DE LILLE,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Wasquehal Pave De Lille,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (709260.842999999 7062987.08460039)
tramway_arrets.61,61,59646,Wasquehal,PONT DE WASQUEHAL,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Pont De Wasquehal,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (708227.228999999 7063083.72000039)
tramway_arrets.62,62,59646,Wasquehal,PONT DE WASQUEHAL,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Pont De Wasquehal,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (708392.989799999 7063061.11020039)
tramway_arrets.63,63,59421,Mouvaux,TROIS SUISSES,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Trois Suisses,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (709844.248799999 7066956.62100038)
tramway_arrets.64,64,59512,Roubaix,EUROTELEPORT,https://www.ilevia.fr/cms/institutionnel/reseau-ilevia/tram/,Euroteleport,https://www.lillemetropole.fr/fr/transports-en-commun,POINT (712682.113799999 7066044.49800038)
